City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,el calafate,-50.3408,-72.2768,3.47,77,58,0.56,AR,1693256034
83,kodiak,57.79,-152.4072,12.73,94,100,0.0,US,1693256034
84,mata-utu,-13.2816,-176.1745,27.33,78,96,10.65,WF,1693256034
85,olonkinbyen,70.9221,-8.7187,4.87,88,100,4.97,SJ,1693256035
86,qaqortoq,60.7167,-46.0333,10.14,51,56,0.05,GL,1693256035
87,aydincik,36.1437,33.3202,27.21,62,4,3.23,TR,1693256035
88,papao,-17.75,-149.55,28.82,95,64,6.74,PF,1693256035
89,bratsk,56.1325,101.6142,15.27,88,14,1.37,RU,1693256035
90,inda silase,14.1031,38.2829,14.75,86,100,1.32,ET,1693256035
91,saint-joseph,-21.3667,55.6167,21.21,81,27,2.71,RE,1693256035
92,taroa,8.7058,171.2275,28.17,75,77,5.28,MH,1693256036
93,canto do buriti,-8.11,-42.9444,32.02,27,1,1.15,BR,1693256036
94,kayangel,8.0823,134.7173,27.98,84,100,6.98,PW,1693256036
95,fale old settlement,-9.3852,-171.2468,28.33,74,98,8.1,TK,1693256036
96,ad dabbah,18.05,30.95,38.2,23,7,2.75,SD,1693256036
97,mhamid,29.82,-5.72,37.2,12,44,5.98,MA,1693256036
98,nattarasankottai,9.8667,78.5667,28.77,66,99,4.71,IN,1693256037
99,zhanaozen,43.3,52.8,21.3,74,5,3.86,KZ,1693256037
100,kone,-21.0595,164.8658,19.83,73,2,2.23,NC,1693256037
101,el granada,37.5027,-122.4694,34.4,65,0,8.23,US,1693256037
102,punta arenas,-53.15,-70.9167,5.34,74,28,2.33,CL,1693255338
103,grytviken,-54.2811,-36.5092,-2.48,90,100,1.87,GS,1693256037
104,wailua homesteads,22.0669,-159.378,29.44,74,20,5.14,US,1693256037
105,qamdo,31.1667,97.2333,3.54,88,98,1.35,CN,1693256037
106,gadani,25.1185,66.7299,27.12,81,100,8.0,PK,1693256038
107,tindouf,27.6711,-8.1474,38.25,14,0,5.14,DZ,1693256038
108,yellowknife,62.456,-114.3525,24.12,56,20,3.6,CA,1693256038
109,buckeye,33.3703,-112.5838,46.53,16,0,1.54,US,1693255695
110,ancud,-41.8697,-73.8203,9.19,70,16,3.3,CL,1693256038
111,ryotsu-minato,38.0833,138.4333,26.25,86,19,2.03,JP,1693256038
112,college,64.8569,-147.8028,11.18,76,75,0.89,US,1693256038
113,pionerskiy,54.9508,20.2275,17.64,72,80,2.23,RU,1693256039
114,lianshan,40.7643,120.8533,19.83,66,88,8.61,CN,1693256039
115,east london,-33.0153,27.9116,17.44,78,99,6.64,ZA,1693256039
116,atamyrat,37.8357,65.2106,19.82,20,0,4.24,TM,1693255987
117,hasaki,35.7333,140.8333,26.28,90,20,5.4,JP,1693256039
118,huangpi,30.8845,114.3779,23.06,83,0,2.0,CN,1693256039
119,axim,4.8699,-2.2405,24.27,93,91,2.82,GH,1693256039
120,louisville,38.2542,-85.7594,30.19,47,20,4.63,US,1693255771
121,meadow lakes,61.6247,-149.6011,14.55,97,100,0.0,US,1693256040
122,igarka,67.4667,86.5833,9.33,91,99,3.61,RU,1693256040
123,mandalgovi,45.7625,106.2708,13.22,61,0,0.93,MN,1693256040
124,ta`u,-14.2336,-169.5144,25.98,78,100,9.46,AS,1693256040
125,malinyi,-8.9333,36.1333,25.01,47,97,1.14,TZ,1693256040
126,la'ie,21.6477,-157.9253,30.98,66,1,2.68,US,1693256040
127,hermanus,-34.4187,19.2345,18.22,61,0,4.06,ZA,1693256040
128,bethel,41.3712,-73.414,24.19,75,20,2.57,US,1693256041
